Report generated on: 04-21-2023 18:23:46
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-VGB-BDOLPPP.A","        British Virgin Islands","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.1887113","0.2050117","0.2580612","0.3171505","0.3943945","0.5156485","0.6430554","0.7951331","0.8572216","0.94735","1.04549","1.145632","1.24359","1.300959","1.257382","1.099423","1.140519","1.304015","1.311246","1.322133","1.326478","1.333188","1.355409","1.317027","1.307179","1.352028","1.373989","1.385608","1.477688","1.47196","1.471749","1.496936","1.522816","1.550824","1.575535"
"INTL.4701-34-BRN-BDOLPPP.A","        Brunei","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","17.66724","18.05722","18.25395","18.8282","19.72416","19.78423","20.40654","21.32048","21.93414","21.61095","21.48986","22.14595","22.77772","23.40297","24.3091","25.01487","25.141","25.23854","26.34835","26.38844","25.87767","25.42062","26.08131","27.0579","27.30498","26.72481","26.05457","25.949","25.30917","25.64548","25.65888","26.65163","26.97217","27.42029","27.90977"
"INTL.4701-34-BGR-BDOLPPP.A","        Bulgaria","63.71248","66.73766","68.29262","70.6398","73.03362","75.00175","78.17945","82.96302","91.93516","88.78095","80.65697","73.8579","68.5332","67.5694","68.81988","85.49391","91.21766","78.02484","81.47021","74.76134","79.07748","82.16423","86.88655","91.44628","97.49442","104.271","111.305","119.0479","126.2671","121.8601","123.5594","126.4718","127.0963","126.3435","127.7803","132.0383","136.0981","139.8885","143.8882","149.5296","143.53","153.6874","159.7293"
"INTL.4701-34-BFA-BDOLPPP.A","        Burkina Faso","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","7.943874","8.11503","8.065616","8.797487","8.817536","9.123318","9.242911","9.771407","10.8477","11.53293","12.37573","13.14834","13.39664","14.28262","14.90434","16.06725","16.78681","18.24086","19.3815","20.17834","21.34868","21.98102","23.8376","25.41626","27.05629","28.62355","29.86204","31.033","32.88194","34.92177","37.27244","39.39675","40.1935","42.971","43.41368"
"INTL.4701-34-MMR-BDOLPPP.A","        Burma","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","26.35468","27.21072","27.4989","28.73314","30.96478","33.06411","35.44588","37.81609","40.09822","42.22062","45.60746","49.45302","55.5942","62.52552","68.73279","77.80279","89.7203","101.8926","115.4513","129.8833","139.7004","145.8268","153.4779","161.8751","172.374","185.9892","201.24","216.278","230.138","243.3711","258.959","276.4398","285.2567","234.198","224.9081"
"INTL.4701-34-BDI-BDOLPPP.A","        Burundi","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","5.577083","5.652632","5.854809","6.216269","6.305925","5.875988","5.683103","5.225926","4.79776","4.813241","5.049937","5.105642","5.200499","5.275487","5.409506","5.538521","5.743617","5.997092","6.323386","6.544544","6.858508","7.121121","7.485574","7.784872","8.130583","8.534575","8.896026","8.551","8.496759","8.54146","8.67993","8.83681","8.74661","8.965303","9.225616"
"INTL.4701-34-CPV-BDOLPPP.A","        Cabo Verde","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.8583597","0.9072771","0.91352","0.9263703","0.9545642","1.024377","1.095342","1.177382","1.256229","1.352184","1.465951","1.63984","1.758987","1.866939","1.965561","2.057612","2.145678","2.285595","2.517394","2.73513","2.917032","2.879964","2.922211","3.038186","3.071061","3.095704","3.114629","3.146","3.294036","3.415983","3.570766","3.773148","3.215349","3.440363","3.844127"
"INTL.4701-34-KHM-BDOLPPP.A","        Cambodia","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","13.90631","13.87033","14.03124","15.09575","16.15697","16.81805","10.96377","12.04975","12.76029","13.27148","13.89274","15.65747","17.33535","18.62557","19.85097","21.53987","23.76686","26.91597","29.81559","32.86075","35.05961","35.08896","37.18144","39.81079","42.70063","45.89498","49.14069","52.59798","56.21793","60.14115","64.63306","69.19223","67.04961","69.09561","72.40991"
"INTL.4701-34-CMR-BDOLPPP.A","        Cameroon","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","0.000001","40.91701","40.17268","37.71988","36.28325","35.1585","32.3697","32.97721","33.93159","35.3618","36.96275","38.70945","40.45573","41.89418","43.72328","45.5765","47.65693","50.88893","51.91749","53.71268","56.34601","58.31161","59.59353","61.63269","64.17856","67.09345","70.7202","74.88064","79.11301","82.63024","85.72902","89.15676","92.59921","91.00916","94.77812","98.21855"
"INTL.4701-34-CAN-BDOLPPP.A","        Canada","693.8847","717.7525","694.8759","712.9519","755.0764","790.8474","807.8108","840.7126","877.789","898.1272","899.6061","880.8397","888.7694","912.4183","953.4267","979.1118","994.9652","1037.55","1077.975","1133.63","1192.325","1213.667","1250.296","1272.82","1312.112","1354.155","1389.827","1418.622","1432.869","1390.944","1433.923","1479.036","1505.081","1540.136","1584.339","1594.782","1610.752","1659.717","1705.808","1738.018","1649.824","1732.51","1791.35"
